"item","f_unavoidable_req","f_expect_free","f_physical_product","f_expensive","f_worthless_alone","f_lasts_awhile","analysis","pair","r","df","p_value","term","Value","Std. Error"
"overpriced",-0.0263234964882346,0.0228352320898294,0.014962740478445,0.837209495978664,0.117267198396992,-0.0337620922907317,"factor analysis",,,,,,,
"more_expect",0.0945605913667086,0.0543964400077713,-0.0264041453442742,0.796009837632044,-0.0619793318401184,0.00705186441415659,"factor analysis",,,,,,,
"expensive",-0.0735284367622972,-0.0706742274693696,-0.00463782819308739,0.838715397356451,-0.0412090523850305,0.0140078313609874,"factor analysis",,,,,,,
"worthless_alone",-0.0197678146220563,-0.0188072686448945,-0.0614640350674435,-0.0392393983961695,0.853646677582302,-0.034132768306421,"factor analysis",,,,,,,
"use_withothers",0.0275106929615025,0.0484837731778263,0.0383898680056287,0.0560562111572433,0.787343323683616,0.0282159498109933,"factor analysis",,,,,,,
"enable_other",0.155518371447682,-0.0140744552325019,0.0210033233231193,0.146642703113696,0.38805439488498,0.0357058100409322,"factor analysis",,,,,,,
"allows_something",0.244822682058146,0.00892890483051121,-0.0309047017179761,0.047674776575945,0.33595294647443,0.15850324278937,"factor analysis",,,,,,,
"have_choice",-0.668397745560893,0.153732411320761,0.083375753773493,-0.0241932187558583,-0.0790466900166615,0.172192790542016,"factor analysis",,,,,,,
"have_options",-0.629098715479326,0.0322929689197734,0.176529830782223,-0.0252603343124373,0.0835005478097218,0.0460847532013792,"factor analysis",,,,,,,
"cannot_control",0.685956407719154,0.112989769244892,0.0461527498949059,-0.0468482588050725,0.0327036737952527,0.0193566459238458,"factor analysis",,,,,,,
"unavoidable_req",0.766706976275329,-0.0085803804190405,0.0211526543431826,0.0347992898214201,0.0558864127113959,0.0817119653244113,"factor analysis",,,,,,,
"noreal_choice",0.671650585431227,0.107428362829624,0.11900374092838,-0.00324598374578792,0.0242770987301834,0.021549846822327,"factor analysis",,,,,,,
"hold_touch",-0.0825774699799017,-0.0576862185884573,0.826274891342395,-0.0682649745137508,-0.0389331360199065,-0.00711266002557437,"factor analysis",,,,,,,
"physical_product",0.0228477337614592,-0.00896027632272354,0.956720221157869,0.035159426993864,0.00275991498123424,-0.017277626636493,"factor analysis",,,,,,,
"tangible_concrete",0.0509537451397253,0.00714704487299436,0.842267437116759,0.000844050913451821,7.6181943368947e-05,0.0257576842986976,"factor analysis",,,,,,,
"long_period",0.0815003881345949,-0.0469518594831076,-0.0571664576259242,-0.0324065869235276,-0.00964543566792582,0.82634609867337,"factor analysis",,,,,,,
"lasts_awhile",-0.0470586699992333,0.00792118856283915,0.0266589956197836,0.0127585614022993,0.00532650222119978,0.989414418501308,"factor analysis",,,,,,,
"giveaway_free",-0.0929424229226198,0.751875098526476,-0.0220532262579714,-0.0785787232755072,0.040458577738132,-0.000761379406690304,"factor analysis",,,,,,,
"usually_dontpay",-0.115745274868087,0.622617195207506,-0.108903363635524,-0.0441319398756818,0.0649765304925296,-0.00127118286951307,"factor analysis",,,,,,,
"expect_free",0.00550091181702802,0.960399433732736,0.0019116804715377,0.0175317927304365,-0.0159840242615571,-0.00767767535366144,"factor analysis",,,,,,,
"shouldbe_free",0.222943861339873,0.685545249994532,-0.0496326999083317,0.0910644330951764,0.00783503792240603,-0.0529977275017273,"factor analysis",,,,,,,
,,,,,,,"factor score correlations","painful_1_f_unavoidable_req",0.084,28,"p=0.657",,,
,,,,,,,"factor score correlations","painful_1_f_expect_free",-0.06,28,"p=0.752",,,
,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.153,28,"p=0.42",,,
,,,,,,,"factor score correlations","painful_1_f_expensive",0.332,28,"p=0.073",,,
,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.172,28,"p=0.363",,,
,,,,,,,"factor score correlations","painful_1_f_lasts_awhile",-0.054,28,"p=0.775",,,
,,,,,,,"factor score correlations","painful_1_ln_typ_charge",0.454,28,"p=0.012",,,
,,,,,,,"factor score correlations","painful_1_ln_disutility",0.656,28,"p<.001",,,
,,,,,,,"factor score correlations","painful_1_purchased",-0.078,28,"p=0.681",,,
,,,,,,,"factor score correlations","painful_1_value_1",-0.098,28,"p=0.608",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_expect_free",0.149,28,"p=0.433",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_physical_product",-0.117,28,"p=0.537",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_expensive",0.287,28,"p=0.124",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_worthless_alone",0.356,28,"p=0.054",,,
,,,,,,,"factor score correlations","f_unavoidable_req_f_lasts_awhile",-0.089,28,"p=0.638",,,
,,,,,,,"factor score correlations","f_unavoidable_req_ln_typ_charge",-0.117,28,"p=0.538",,,
,,,,,,,"factor score correlations","f_unavoidable_req_ln_disutility",-0.129,28,"p=0.497",,,
,,,,,,,"factor score correlations","f_unavoidable_req_purchased",0.231,28,"p=0.219",,,
,,,,,,,"factor score correlations","f_unavoidable_req_value_1",0.133,28,"p=0.484",,,
,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.386,28,"p=0.035",,,
,,,,,,,"factor score correlations","f_expect_free_f_expensive",0.04,28,"p=0.834",,,
,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.284,28,"p=0.128",,,
,,,,,,,"factor score correlations","f_expect_free_f_lasts_awhile",-0.126,28,"p=0.508",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.174,28,"p=0.357",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",-0.08,28,"p=0.672",,,
,,,,,,,"factor score correlations","f_expect_free_purchased",-0.143,28,"p=0.451",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",-0.17,28,"p=0.369",,,
,,,,,,,"factor score correlations","f_physical_product_f_expensive",-0.115,28,"p=0.545",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.29,28,"p=0.12",,,
,,,,,,,"factor score correlations","f_physical_product_f_lasts_awhile",0.21,28,"p=0.265",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",-0.11,28,"p=0.563",,,
,,,,,,,"factor score correlations","f_physical_product_ln_disutility",-0.2,28,"p=0.29",,,
,,,,,,,"factor score correlations","f_physical_product_purchased",0.226,28,"p=0.23",,,
,,,,,,,"factor score correlations","f_physical_product_value_1",-0.11,28,"p=0.564",,,
,,,,,,,"factor score correlations","f_expensive_f_worthless_alone",0.303,28,"p=0.104",,,
,,,,,,,"factor score correlations","f_expensive_f_lasts_awhile",-0.152,28,"p=0.422",,,
,,,,,,,"factor score correlations","f_expensive_ln_typ_charge",0.19,28,"p=0.313",,,
,,,,,,,"factor score correlations","f_expensive_ln_disutility",0.251,28,"p=0.182",,,
,,,,,,,"factor score correlations","f_expensive_purchased",-0.242,28,"p=0.198",,,
,,,,,,,"factor score correlations","f_expensive_value_1",-0.21,28,"p=0.265",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_lasts_awhile",-0.012,28,"p=0.95",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.13,28,"p=0.495",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",-0.066,28,"p=0.727",,,
,,,,,,,"factor score correlations","f_worthless_alone_purchased",-0.14,28,"p=0.462",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",0.044,28,"p=0.816",,,
,,,,,,,"factor score correlations","f_lasts_awhile_ln_typ_charge",0.098,28,"p=0.605",,,
,,,,,,,"factor score correlations","f_lasts_awhile_ln_disutility",0.051,28,"p=0.788",,,
,,,,,,,"factor score correlations","f_lasts_awhile_purchased",-0.079,28,"p=0.68",,,
,,,,,,,"factor score correlations","f_lasts_awhile_value_1",0.226,28,"p=0.23",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.933,28,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_purchased",-0.417,28,"p=0.022",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",0.325,28,"p=0.079",,,
,,,,,,,"factor score correlations","ln_disutility_purchased",-0.399,28,"p=0.029",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",0.192,28,"p=0.31",,,
,,,,,,,"factor score correlations","purchased_value_1",-0.07,28,"p=0.712",,,
,,,,,,,"OLS regression",,,,"p=0.545","f_worthless_alone",0.162,0.264
,,,,,,,"OLS regression",,,,"p=0.905","f_unavoidable_req",0.031,0.255
,,,,,,,"OLS regression",,,,"p=0.581","f_physical_product",-0.139,0.249
,,,,,,,"OLS regression",,,,,"adj_r2",-0.069,
